 n                         2^n             p                           q
110  1,298,074,214,633,706,907,132,624,082,305,024           443  1,298,074,214,633,706,907,132,624,082,304,581
111  2,596,148,429,267,413,814,265,248,164,610,048            37  2,596,148,429,267,413,814,265,248,164,610,011
112  5,192,296,858,534,827,628,530,496,329,220,096           269  5,192,296,858,534,827,628,530,496,329,219,827
113  10,384,593,717,069,655,257,060,992,658,440,192           211  10,384,593,717,069,655,257,060,992,658,439,981
114  20,769,187,434,139,310,514,121,985,316,880,384            11  20,769,187,434,139,310,514,121,985,316,880,373
115  41,538,374,868,278,621,028,243,970,633,760,768            67  41,538,374,868,278,621,028,243,970,633,760,701
116  83,076,749,736,557,242,056,487,941,267,521,536             3  83,076,749,736,557,242,056,487,941,267,521,533
117  166,153,499,473,114,484,112,975,882,535,043,072           373  166,153,499,473,114,484,112,975,882,535,042,699
118  332,306,998,946,228,968,225,951,765,070,086,144             5  332,306,998,946,228,968,225,951,765,070,086,139
119  664,613,997,892,457,936,451,903,530,140,172,288         1,069  664,613,997,892,457,936,451,903,530,140,171,219
120  1,329,227,995,784,915,872,903,807,060,280,344,576         1,049  1,329,227,995,784,915,872,903,807,060,280,343,527
121  2,658,455,991,569,831,745,807,614,120,560,689,152            73  2,658,455,991,569,831,745,807,614,120,560,689,079
122  5,316,911,983,139,663,491,615,228,241,121,378,304             3  5,316,911,983,139,663,491,615,228,241,121,378,301
123  10,633,823,966,279,326,983,230,456,482,242,756,608            67  10,633,823,966,279,326,983,230,456,482,242,756,541
124  21,267,647,932,558,653,966,460,912,964,485,513,216            59  21,267,647,932,558,653,966,460,912,964,485,513,157
125  42,535,295,865,117,307,932,921,825,928,971,026,432           853  42,535,295,865,117,307,932,921,825,928,971,025,579
126  85,070,591,730,234,615,865,843,651,857,942,052,864           137  85,070,591,730,234,615,865,843,651,857,942,052,727
127  170,141,183,460,469,231,731,687,303,715,884,105,728           577  170,141,183,460,469,231,731,687,303,715,884,105,151
128  340,282,366,920,938,463,463,374,607,431,768,211,456           173  340,282,366,920,938,463,463,374,607,431,768,211,283
129  680,564,733,841,876,926,926,749,214,863,536,422,912           613  680,564,733,841,876,926,926,749,214,863,536,422,299
130  1,361,129,467,683,753,853,853,498,429,727,072,845,824             5  1,361,129,467,683,753,853,853,498,429,727,072,845,819
131  2,722,258,935,367,507,707,706,996,859,454,145,691,648           181  2,722,258,935,367,507,707,706,996,859,454,145,691,467
132  5,444,517,870,735,015,415,413,993,718,908,291,383,296           347  5,444,517,870,735,015,415,413,993,718,908,291,382,949
133  10,889,035,741,470,030,830,827,987,437,816,582,766,592           103  10,889,035,741,470,030,830,827,987,437,816,582,766,489
134  21,778,071,482,940,061,661,655,974,875,633,165,533,184           197  21,778,071,482,940,061,661,655,974,875,633,165,532,987
135  43,556,142,965,880,123,323,311,949,751,266,331,066,368           409  43,556,142,965,880,123,323,311,949,751,266,331,065,959
136  87,112,285,931,760,246,646,623,899,502,532,662,132,736           113  87,112,285,931,760,246,646,623,899,502,532,662,132,623
137  174,224,571,863,520,493,293,247,799,005,065,324,265,472            13  174,224,571,863,520,493,293,247,799,005,065,324,265,459
138  348,449,143,727,040,986,586,495,598,010,130,648,530,944           983  348,449,143,727,040,986,586,495,598,010,130,648,529,961
139  696,898,287,454,081,973,172,991,196,020,261,297,061,888           397  696,898,287,454,081,973,172,991,196,020,261,297,061,491
140  1,393,796,574,908,163,946,345,982,392,040,522,594,123,776           773  1,393,796,574,908,163,946,345,982,392,040,522,594,123,003
141  2,787,593,149,816,327,892,691,964,784,081,045,188,247,552           103  2,787,593,149,816,327,892,691,964,784,081,045,188,247,449
142  5,575,186,299,632,655,785,383,929,568,162,090,376,495,104           887  5,575,186,299,632,655,785,383,929,568,162,090,376,494,217
143  11,150,372,599,265,311,570,767,859,136,324,180,752,990,208           127  11,150,372,599,265,311,570,767,859,136,324,180,752,990,081
144  22,300,745,198,530,623,141,535,718,272,648,361,505,980,416            83  22,300,745,198,530,623,141,535,718,272,648,361,505,980,333
145  44,601,490,397,061,246,283,071,436,545,296,723,011,960,832           151  44,601,490,397,061,246,283,071,436,545,296,723,011,960,681
146  89,202,980,794,122,492,566,142,873,090,593,446,023,921,664         1,013  89,202,980,794,122,492,566,142,873,090,593,446,023,920,651
147  178,405,961,588,244,985,132,285,746,181,186,892,047,843,328         1,777  178,405,961,588,244,985,132,285,746,181,186,892,047,841,551
148  356,811,923,176,489,970,264,571,492,362,373,784,095,686,656           167  356,811,923,176,489,970,264,571,492,362,373,784,095,686,489
149  713,623,846,352,979,940,529,142,984,724,747,568,191,373,312            31  713,623,846,352,979,940,529,142,984,724,747,568,191,373,281
150  1,427,247,692,705,959,881,058,285,969,449,495,136,382,746,624             3  1,427,247,692,705,959,881,058,285,969,449,495,136,382,746,621
151  2,854,495,385,411,919,762,116,571,938,898,990,272,765,493,248           829  2,854,495,385,411,919,762,116,571,938,898,990,272,765,492,419
152  5,708,990,770,823,839,524,233,143,877,797,980,545,530,986,496            17  5,708,990,770,823,839,524,233,143,877,797,980,545,530,986,479
153  11,417,981,541,647,679,048,466,287,755,595,961,091,061,972,992         2,011  11,417,981,541,647,679,048,466,287,755,595,961,091,061,970,981
154  22,835,963,083,295,358,096,932,575,511,191,922,182,123,945,984           773  22,835,963,083,295,358,096,932,575,511,191,922,182,123,945,211
155  45,671,926,166,590,716,193,865,151,022,383,844,364,247,891,968            31  45,671,926,166,590,716,193,865,151,022,383,844,364,247,891,937
156  91,343,852,333,181,432,387,730,302,044,767,688,728,495,783,936           167  91,343,852,333,181,432,387,730,302,044,767,688,728,495,783,769
157  182,687,704,666,362,864,775,460,604,089,535,377,456,991,567,872            19  182,687,704,666,362,864,775,460,604,089,535,377,456,991,567,853
158  365,375,409,332,725,729,550,921,208,179,070,754,913,983,135,744         1,571  365,375,409,332,725,729,550,921,208,179,070,754,913,983,134,173
159  730,750,818,665,451,459,101,842,416,358,141,509,827,966,271,488           241  730,750,818,665,451,459,101,842,416,358,141,509,827,966,271,247
160  1,461,501,637,330,902,918,203,684,832,716,283,019,655,932,542,976            47  1,461,501,637,330,902,918,203,684,832,716,283,019,655,932,542,929
161  2,923,003,274,661,805,836,407,369,665,432,566,039,311,865,085,952           709  2,923,003,274,661,805,836,407,369,665,432,566,039,311,865,085,243
162  5,846,006,549,323,611,672,814,739,330,865,132,078,623,730,171,904           101  5,846,006,549,323,611,672,814,739,330,865,132,078,623,730,171,803
163  11,692,013,098,647,223,345,629,478,661,730,264,157,247,460,343,808           577  11,692,013,098,647,223,345,629,478,661,730,264,157,247,460,343,231
164  23,384,026,197,294,446,691,258,957,323,460,528,314,494,920,687,616         1,307  23,384,026,197,294,446,691,258,957,323,460,528,314,494,920,686,309
165  46,768,052,394,588,893,382,517,914,646,921,056,628,989,841,375,232            61  46,768,052,394,588,893,382,517,914,646,921,056,628,989,841,375,171
166  93,536,104,789,177,786,765,035,829,293,842,113,257,979,682,750,464             5  93,536,104,789,177,786,765,035,829,293,842,113,257,979,682,750,459
167  187,072,209,578,355,573,530,071,658,587,684,226,515,959,365,500,928           577  187,072,209,578,355,573,530,071,658,587,684,226,515,959,365,500,351
168  374,144,419,156,711,147,060,143,317,175,368,453,031,918,731,001,856           257  374,144,419,156,711,147,060,143,317,175,368,453,031,918,731,001,599
169  748,288,838,313,422,294,120,286,634,350,736,906,063,837,462,003,712           643  748,288,838,313,422,294,120,286,634,350,736,906,063,837,462,003,069
170  1,496,577,676,626,844,588,240,573,268,701,473,812,127,674,924,007,424           761  1,496,577,676,626,844,588,240,573,268,701,473,812,127,674,924,006,663
171  2,993,155,353,253,689,176,481,146,537,402,947,624,255,349,848,014,848            19  2,993,155,353,253,689,176,481,146,537,402,947,624,255,349,848,014,829
172  5,986,310,706,507,378,352,962,293,074,805,895,248,510,699,696,029,696           227  5,986,310,706,507,378,352,962,293,074,805,895,248,510,699,696,029,469
173  11,972,621,413,014,756,705,924,586,149,611,790,497,021,399,392,059,392           103  11,972,621,413,014,756,705,924,586,149,611,790,497,021,399,392,059,289
174  23,945,242,826,029,513,411,849,172,299,223,580,994,042,798,784,118,784             3  23,945,242,826,029,513,411,849,172,299,223,580,994,042,798,784,118,781
175  47,890,485,652,059,026,823,698,344,598,447,161,988,085,597,568,237,568           229  47,890,485,652,059,026,823,698,344,598,447,161,988,085,597,568,237,339
176  95,780,971,304,118,053,647,396,689,196,894,323,976,171,195,136,475,136           233  95,780,971,304,118,053,647,396,689,196,894,323,976,171,195,136,474,903
177  191,561,942,608,236,107,294,793,378,393,788,647,952,342,390,272,950,272           619  191,561,942,608,236,107,294,793,378,393,788,647,952,342,390,272,949,653
178  383,123,885,216,472,214,589,586,756,787,577,295,904,684,780,545,900,544            41  383,123,885,216,472,214,589,586,756,787,577,295,904,684,780,545,900,503
179  766,247,770,432,944,429,179,173,513,575,154,591,809,369,561,091,801,088         1,669  766,247,770,432,944,429,179,173,513,575,154,591,809,369,561,091,799,419
180  1,532,495,540,865,888,858,358,347,027,150,309,183,618,739,122,183,602,176            47  1,532,495,540,865,888,858,358,347,027,150,309,183,618,739,122,183,602,129
181  3,064,991,081,731,777,716,716,694,054,300,618,367,237,478,244,367,204,352           199  3,064,991,081,731,777,716,716,694,054,300,618,367,237,478,244,367,204,153
182  6,129,982,163,463,555,433,433,388,108,601,236,734,474,956,488,734,408,704           233  6,129,982,163,463,555,433,433,388,108,601,236,734,474,956,488,734,408,471
183  12,259,964,326,927,110,866,866,776,217,202,473,468,949,912,977,468,817,408         2,239  12,259,964,326,927,110,866,866,776,217,202,473,468,949,912,977,468,815,169
184  24,519,928,653,854,221,733,733,552,434,404,946,937,899,825,954,937,634,816            59  24,519,928,653,854,221,733,733,552,434,404,946,937,899,825,954,937,634,757
185  49,039,857,307,708,443,467,467,104,868,809,893,875,799,651,909,875,269,632         1,879  49,039,857,307,708,443,467,467,104,868,809,893,875,799,651,909,875,267,753
186  98,079,714,615,416,886,934,934,209,737,619,787,751,599,303,819,750,539,264           677  98,079,714,615,416,886,934,934,209,737,619,787,751,599,303,819,750,538,587
187  196,159,429,230,833,773,869,868,419,475,239,575,503,198,607,639,501,078,528         1,951  196,159,429,230,833,773,869,868,419,475,239,575,503,198,607,639,501,076,577
188  392,318,858,461,667,547,739,736,838,950,479,151,006,397,215,279,002,157,056           167  392,318,858,461,667,547,739,736,838,950,479,151,006,397,215,279,002,156,889
189  784,637,716,923,335,095,479,473,677,900,958,302,012,794,430,558,004,314,112         1,129  784,637,716,923,335,095,479,473,677,900,958,302,012,794,430,558,004,312,983
190  1,569,275,433,846,670,190,958,947,355,801,916,604,025,588,861,116,008,628,224            11  1,569,275,433,846,670,190,958,947,355,801,916,604,025,588,861,116,008,628,213
191  3,138,550,867,693,340,381,917,894,711,603,833,208,051,177,722,232,017,256,448            19  3,138,550,867,693,340,381,917,894,711,603,833,208,051,177,722,232,017,256,429
192  6,277,101,735,386,680,763,835,789,423,207,666,416,102,355,444,464,034,512,896         1,409  6,277,101,735,386,680,763,835,789,423,207,666,416,102,355,444,464,034,511,487
193  12,554,203,470,773,361,527,671,578,846,415,332,832,204,710,888,928,069,025,792            31  12,554,203,470,773,361,527,671,578,846,415,332,832,204,710,888,928,069,025,761
194  25,108,406,941,546,723,055,343,157,692,830,665,664,409,421,777,856,138,051,584           317  25,108,406,941,546,723,055,343,157,692,830,665,664,409,421,777,856,138,051,267
195  50,216,813,883,093,446,110,686,315,385,661,331,328,818,843,555,712,276,103,168         1,201  50,216,813,883,093,446,110,686,315,385,661,331,328,818,843,555,712,276,101,967
196  100,433,627,766,186,892,221,372,630,771,322,662,657,637,687,111,424,552,206,336            47  100,433,627,766,186,892,221,372,630,771,322,662,657,637,687,111,424,552,206,289
197  200,867,255,532,373,784,442,745,261,542,645,325,315,275,374,222,849,104,412,672           439  200,867,255,532,373,784,442,745,261,542,645,325,315,275,374,222,849,104,412,233
198  401,734,511,064,747,568,885,490,523,085,290,650,630,550,748,445,698,208,825,344            17  401,734,511,064,747,568,885,490,523,085,290,650,630,550,748,445,698,208,825,327
199  803,469,022,129,495,137,770,981,046,170,581,301,261,101,496,891,396,417,650,688         1,021  803,469,022,129,495,137,770,981,046,170,581,301,261,101,496,891,396,417,649,667
200  1,606,938,044,258,990,275,541,962,092,341,162,602,522,202,993,782,792,835,301,376           383  1,606,938,044,258,990,275,541,962,092,341,162,602,522,202,993,782,792,835,300,993
201  3,213,876,088,517,980,551,083,924,184,682,325,205,044,405,987,565,585,670,602,752           313  3,213,876,088,517,980,551,083,924,184,682,325,205,044,405,987,565,585,670,602,439
202  6,427,752,177,035,961,102,167,848,369,364,650,410,088,811,975,131,171,341,205,504           977  6,427,752,177,035,961,102,167,848,369,364,650,410,088,811,975,131,171,341,204,527
203  12,855,504,354,071,922,204,335,696,738,729,300,820,177,623,950,262,342,682,411,008           271  12,855,504,354,071,922,204,335,696,738,729,300,820,177,623,950,262,342,682,410,737
204  25,711,008,708,143,844,408,671,393,477,458,601,640,355,247,900,524,685,364,822,016           167  25,711,008,708,143,844,408,671,393,477,458,601,640,355,247,900,524,685,364,821,849
205  51,422,017,416,287,688,817,342,786,954,917,203,280,710,495,801,049,370,729,644,032           229  51,422,017,416,287,688,817,342,786,954,917,203,280,710,495,801,049,370,729,643,803
206  102,844,034,832,575,377,634,685,573,909,834,406,561,420,991,602,098,741,459,288,064             5  102,844,034,832,575,377,634,685,573,909,834,406,561,420,991,602,098,741,459,288,059
207  205,688,069,665,150,755,269,371,147,819,668,813,122,841,983,204,197,482,918,576,128           157  205,688,069,665,150,755,269,371,147,819,668,813,122,841,983,204,197,482,918,575,971
208  411,376,139,330,301,510,538,742,295,639,337,626,245,683,966,408,394,965,837,152,256           563  411,376,139,330,301,510,538,742,295,639,337,626,245,683,966,408,394,965,837,151,693
209  822,752,278,660,603,021,077,484,591,278,675,252,491,367,932,816,789,931,674,304,512           439  822,752,278,660,603,021,077,484,591,278,675,252,491,367,932,816,789,931,674,304,073
210  1,645,504,557,321,206,042,154,969,182,557,350,504,982,735,865,633,579,863,348,609,024            47  1,645,504,557,321,206,042,154,969,182,557,350,504,982,735,865,633,579,863,348,608,977
211  3,291,009,114,642,412,084,309,938,365,114,701,009,965,471,731,267,159,726,697,218,048           601  3,291,009,114,642,412,084,309,938,365,114,701,009,965,471,731,267,159,726,697,217,447
212  6,582,018,229,284,824,168,619,876,730,229,402,019,930,943,462,534,319,453,394,436,096            23  6,582,018,229,284,824,168,619,876,730,229,402,019,930,943,462,534,319,453,394,436,073
213  13,164,036,458,569,648,337,239,753,460,458,804,039,861,886,925,068,638,906,788,872,192             3  13,164,036,458,569,648,337,239,753,460,458,804,039,861,886,925,068,638,906,788,872,189
214  26,328,072,917,139,296,674,479,506,920,917,608,079,723,773,850,137,277,813,577,744,384           743  26,328,072,917,139,296,674,479,506,920,917,608,079,723,773,850,137,277,813,577,743,641
215  52,656,145,834,278,593,348,959,013,841,835,216,159,447,547,700,274,555,627,155,488,768           157  52,656,145,834,278,593,348,959,013,841,835,216,159,447,547,700,274,555,627,155,488,611
216  105,312,291,668,557,186,697,918,027,683,670,432,318,895,095,400,549,111,254,310,977,536           479  105,312,291,668,557,186,697,918,027,683,670,432,318,895,095,400,549,111,254,310,977,057
217  210,624,583,337,114,373,395,836,055,367,340,864,637,790,190,801,098,222,508,621,955,072            61  210,624,583,337,114,373,395,836,055,367,340,864,637,790,190,801,098,222,508,621,955,011
218  421,249,166,674,228,746,791,672,110,734,681,729,275,580,381,602,196,445,017,243,910,144           233  421,249,166,674,228,746,791,672,110,734,681,729,275,580,381,602,196,445,017,243,909,911
219  842,498,333,348,457,493,583,344,221,469,363,458,551,160,763,204,392,890,034,487,820,288           277  842,498,333,348,457,493,583,344,221,469,363,458,551,160,763,204,392,890,034,487,820,011
