Gen    1 | Best: ZJIhprRbqXTRvS!xUkS AeyEGB,m | Fitness: 5
Gen   77 | Best: M.THINnI kT IS xIZf APWEASEL | Fitness: 20
Gen   78 | Best: M.THINnG UT IS xIZf A WEASEL | Fitness: 21
Gen   79 | Best: M.THINnG UT IS xIZf A WEASEL | Fitness: 21
Gen   80 | Best: MjTHINnG UT IS xIZf A WEASEL | Fitness: 21
Gen   81 | Best: M.THINnG UT IS xIZf A WEASEL | Fitness: 21
Gen   82 | Best: M.THINnI UT IS xIZf A WEASEL | Fitness: 21
Gen   83 | Best: M.THINnI kT IS xIZS A WEASEL | Fitness: 21
Gen   84 | Best: M.THINnI kT IS xIZf A WEASEL | Fitness: 21
Gen   85 | Best: M.THINnh rT IS xIYS A WEASEL | Fitness: 21
Gen   86 | Best: M.THINnI kT IS xIZS A WEASEL | Fitness: 21
Gen   87 | Best: M.THINnI rT IS xIZf A WEASEL | Fitness: 21
Gen   88 | Best: MqTHINnu kT IS xIZS A WEASEL | Fitness: 21
Gen   89 | Best: M.THINoe kT IS xIZS A WEASEL | Fitness: 21
Gen   90 | Best: M.THINnG UT IS xIZS A WEASEL | Fitness: 21
Gen   91 | Best: M.THINXG UT IS xIYS A WEASEL | Fitness: 21
Gen   92 | Best: M.THINnG rT IS IIZS A WEASEL | Fitness: 21
Gen   93 | Best: M.THINnG kT IS xIZK A WEASEL | Fitness: 21
Gen   94 | Best: M.THINoX UT IS xIZK A WEASEL | Fitness: 21
Gen   95 | Best: M.THINnI JT IS xIEf A WEASEL | Fitness: 21
Gen   96 | Best: M.THINnG kT IS xIKK A WEASEL | Fitness: 22
Gen   97 | Best: M.THINnI kT IS nIZK A WEASEL | Fitness: 21
Gen   98 | Best: M.THINnG kT IS xIKf A WEASEL | Fitness: 22
Gen   99 | Best: M.THINnG kT IS xIKf A WEASEL | Fitness: 22
Gen  100 | Best: M.THINnI kT IS xIKf A WEASEL | Fitness: 22
Gen  101 | Best: MiTHINnI JT IS xIKf A WEASEL | Fitness: 22
Gen  102 | Best: M.THINnG kT IS xIKK A WEASEL | Fitness: 22
Gen  103 | Best: M.THINnz kT IS xIKf A WEASEL | Fitness: 22
Gen  104 | Best: M.THINnI  T IS xIKK A WEASEL | Fitness: 22
Gen  105 | Best: M.THINoG yT IS xIKf A WEASEL | Fitness: 22
Gen  106 | Best: M.THINnI JT IS xIKf A WEASEL | Fitness: 22
Gen  107 | Best: M.THINoS kT IS xIKK A WEASEL | Fitness: 23
Gen  108 | Best: M.THINoS kT IS xIKK A WEASEL | Fitness: 23
Gen  109 | Best: M.THINoX LT IS xIKK A WEASEL | Fitness: 22
Gen  110 | Best: M.THINoI kT IS LIlK A WEASEL | Fitness: 22
Gen  111 | Best: M.THINnI  T IS LIKf A WEASEL | Fitness: 23
Gen  112 | Best: M.THINnS kT IS LIZf A WEASEL | Fitness: 23
Gen  113 | Best: M.THINoG  T IS LIKK A WEASEL | Fitness: 23
Gen  114 | Best: M.THINoG  T IS LIKf A WEASEL | Fitness: 23
Gen  115 | Best: M.THINoG  T IS LIKK A WEASEL | Fitness: 23
Gen  116 | Best: M.THINnI kT IS LIKK A WEASEL | Fitness: 23
Gen  117 | Best: M.THINoG  T IS LIKf A WEASEL | Fitness: 23
Gen  118 | Best: M.THINnG  T IS LIKf A WEASEL | Fitness: 23
Gen  119 | Best: M.THINoM yT IS LIKf A WEASEL | Fitness: 23
Gen  120 | Best: M.THINnG  T IS LIKK A WEASEL | Fitness: 23
Gen  121 | Best: MRTHINnG  T IS LIKK A WEASEL | Fitness: 23
Gen  122 | Best: M.THINnG yT IS LIKf A WEASEL | Fitness: 23
Gen  123 | Best: M.THINnI kT IS LIKf A WEASEL | Fitness: 23
Gen  124 | Best: M.THINnN  T IS LIKf A WEASEL | Fitness: 23
Gen  125 | Best: M.THINnG kT IS LIKf A WEASEL | Fitness: 23
Gen  126 | Best: M.THINnN  T IS LIKJ A WEASEL | Fitness: 23
Gen  127 | Best: M.THINnI  T IS LIKf A WEASEL | Fitness: 23
Gen  128 | Best: M.THINnI kT IS LIKf A WEASEL | Fitness: 23
Gen  129 | Best: M.THINnI  T IS LIKK A WEASEL | Fitness: 23
Gen  130 | Best: M.THINnI yT IS LIKf A WEASEL | Fitness: 23
Gen  131 | Best: M.THINnG pT IS LIKK A WEASEL | Fitness: 23
Gen  132 | Best: METHINnG lT IS LIKK A WEASEL | Fitness: 24
Gen  133 | Best: M.THINnI  T IS LIKK A WEASEL | Fitness: 23
Gen  134 | Best: M.THINnI kT IS LIKf A WEASEL | Fitness: 23
Gen  135 | Best: M.THINnG  T IS LIKf A WEASEL | Fitness: 23
Gen  136 | Best: M.THINnI kT IS LIKK A WEASEL | Fitness: 23
Gen  137 | Best: M.THINnI  T IS LIKf A WEASEL | Fitness: 23
Gen  138 | Best: M.THINnG OT IS LIKK A WEASEL | Fitness: 23
Gen  139 | Best: M.THINnI  T IS LIKA A WEASEL | Fitness: 23
Gen  140 | Best: M.THINnI  T IS LIKf A WEASEL | Fitness: 23
Gen  141 | Best: M.THINnS kT IS LIKm A WEASEL | Fitness: 24
Gen  142 | Best: M.THINnS kT IS LIKK A WEASEL | Fitness: 24
